/Graph
Time (s),Data (Meters),Data0 (Meters),Data1 (Meters)
11.750,+3.278e-07,+1.000e+00,-2.000e+00
11.775,+3.278e-07,+1.000e+00,-2.000e+00
11.799999,+3.278e-07,+1.000e+00,-2.000e+00
11.825,+3.278e-07,+1.000e+00,-2.000e+00
11.849999,+3.278e-07,+1.000e+00,-2.000e+00
11.875,+3.278e-07,+1.000e+00,-2.000e+00
11.900,+3.278e-07,+1.000e+00,-2.000e+00
11.924999,+3.278e-07,+1.000e+00,-2.000e+00
11.950,+3.278e-07,+1.000e+00,-2.000e+00
11.974999,+3.278e-07,+1.000e+00,-2.000e+00
12.000,+3.278e-07,+1.000e+00,-2.000e+00
12.025,+3.278e-07,+1.000e+00,-2.000e+00
12.049999,+3.278e-07,+1.000e+00,-2.000e+00
12.075,+3.278e-07,+1.000e+00,-2.000e+00
12.099999,+3.278e-07,+1.000e+00,-2.000e+00
12.125,+3.278e-07,+1.000e+00,-2.000e+00
12.150,+3.278e-07,+1.000e+00,-2.000e+00
12.174999,+3.278e-07,+1.000e+00,-2.000e+00
12.200,+3.278e-07,+1.000e+00,-2.000e+00
12.224999,+3.278e-07,+1.000e+00,-2.000e+00
12.250,+3.278e-07,+1.000e+00,-2.000e+00
12.275,+3.278e-07,+1.000e+00,-2.000e+00
